Description,Price,Rating,Review_count,Url
"Rolling Stool Adjustable Drafting Chair Heavy Duty with Wheels for Office Home Desk Chair Big Size (with Foot Ring, Black)",$185.00,4.3 out of 5 stars,178,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg17_1?ie=UTF8&adId=A06857922RH6SA5R0EAJP&url=%2FRolling-Adjustable-Drafting-Wheels-Office%2Fdp%2FB088GMXRC9%2Fref%3Dsr_1_779_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103576%26sr%3D8-779-spons%26psc%3D1&qualifier=1658103576&id=1499831618444515&widgetName=sp_btf
Blue Whale Gaming Chair PC Computer Game Chair with Footrest Racing Gamer Chair Ergonomic Office Chair High Back PU Leather Computer Desk Chair with Lumbar Cushion and Headrest,$218.99,4.4 out of 5 stars,369,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg17_1?ie=UTF8&adId=A00277511HO2QRHNSSQYI&url=%2FBlue-Whale-Computer-Footrest-Ergonomic%2Fdp%2FB0928NHCM9%2Fref%3Dsr_1_780_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103576%26sr%3D8-780-spons%26psc%3D1&qualifier=1658103576&id=1499831618444515&widgetName=sp_btf
"KingCamp Camping Chair Oversized Padded Moon Round Saucer Chairs Camping Folding Chair with Cup Holder,Storage Bag,Carry Bag for Camping, Hiking Fishing Sports Black&Green Camping Chair",$89.99,4.5 out of 5 stars,88,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg18_1?ie=UTF8&adId=A03534732OSH2BD7FIKN&url=%2FKingCamp-Camping-Oversized-Folding-Storage%2Fdp%2FB09MT9Z2FZ%2Fref%3Dsr_1_817_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-817-spons%26psc%3D1%26smid%3DA1HFN0T2NQL7N6&qualifier=1658103580&id=7225804552437109&widgetName=sp_atf_next
"Ergonomic Office Chair, KERDOM Home Desk Chair, Comfy Breathable Mesh Task Chair, High Back Thick Cushion Computer Chair with Headrest and 3D Armrests, Adjustable Height Home Gaming Chair S-White",$239.99,4.2 out of 5 stars,513,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg18_1?ie=UTF8&adId=A03939171USOB7VSNFXS3&url=%2FErgonomic-KERDOM-Breathable-Computer-Adjustable%2Fdp%2FB099DSS79Z%2Fref%3Dsr_1_818_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-818-spons%26psc%3D1%26smid%3DA2IJD0JJS3FCJE&qualifier=1658103580&id=7225804552437109&widgetName=sp_atf_next
"DualThunder Gaming Chairs, Home Office Desk Chairs Clearance, Comfortable Cheap Gaming Office Chairs, Computer Chairs Video Game Chairs, Gaming Chairs for Teens Gamer, Swivel Rolling Chairs, Blue",$99.99,4.0 out of 5 stars,364,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg18_1?ie=UTF8&adId=A03198221PT0AHL4O3OBT&url=%2FDualThunder-Clearance-Comfortable-Computer-Rolling%2Fdp%2FB09BC5NYRR%2Fref%3Dsr_1_819_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-819-spons%26psc%3D1&qualifier=1658103580&id=7225804552437109&widgetName=sp_atf_next
"SMUG Gaming Ergonomic Office PU Leather Computer High Back Desk Swivel Task Chair with Lumbar Support/Adjustable Armrests, Grey",$99.26,4.3 out of 5 stars,78,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg18_1?ie=UTF8&adId=A0726663HAQ6KX9ZXAD0&url=%2FSMUG-Ergonomic-Computer-Adjustable-Armrests%2Fdp%2FB09T9NVFVV%2Fref%3Dsr_1_820_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-820-spons%26psc%3D1&qualifier=1658103580&id=7225804552437109&widgetName=sp_atf_next
"RESPAWN 200 Racing Style Gaming Chair, in Green RSP 200 GRN",$153.73,4.3 out of 5 stars,170,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg18_1?ie=UTF8&adId=A0043442OH67HXFYTOL3&url=%2FRESPAWN-200-Racing-Style-Gaming-Chair%2Fdp%2FB076HT3H9Y%2Fref%3Dsr_1_821_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-821-spons%26psc%3D1&qualifier=1658103580&id=7225804552437109&widgetName=sp_mtf
Blue Whale Gaming Chair PC Computer Game Chair with Footrest Racing Gamer Chair Ergonomic Office Chair High Back PU Leather Computer Desk Chair with Lumbar Cushion and Headrest,$218.99,4.4 out of 5 stars,369,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg18_1?ie=UTF8&adId=A0027651DC4ZZ9P8I1LX&url=%2FBlue-Whale-Computer-Footrest-Ergonomic%2Fdp%2FB08C564G8X%2Fref%3Dsr_1_822_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-822-spons%26psc%3D1&qualifier=1658103580&id=7225804552437109&widgetName=sp_mtf
MUZII Office Gaming Chairs Comfortable Computer Desk Chair with Wheels Breathable Mesh PU Leather Video Game Chairs for Kids and Teens Blue,$98.99,4.2 out of 5 stars,979,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg18_1?ie=UTF8&adId=A06708533ENW2KQYK2GMA&url=%2FMUZII-Comfortable-Computer-Breathable-Leather%2Fdp%2FB09QPNCR4N%2Fref%3Dsr_1_823_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-823-spons%26psc%3D1%26smid%3DA14MB4USO4XU9T&qualifier=1658103580&id=7225804552437109&widgetName=sp_mtf
"Lunarable Unicorn Party Office Chair Slipcover, Horned Horse and Stars on Colorful Vertical Stripes, Protective Stretch Decorative Fabric Cover, Standard Size, Pink Yellow",$22.99,3.9 out of 5 stars,105,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg18_1?ie=UTF8&adId=A05161272L2B1FLIYFTB9&url=%2FLunarable-Slipcover-Protective-Decorative-Multicolor%2Fdp%2FB085F27CFR%2Fref%3Dsr_1_824_sspa%3Fkeywords%3DGaming%2BChair%26qid%3D1658103580%26sr%3D8-824-spons%26psc%3D1&qualifier=1658103580&id=7225804552437109&widgetName=sp_mtf
